,x,EventName,,,,EventList,,Element,Element2
618,SMALL STREAM AND,,,,,,,,
619,SMALL STREAM AND URBAN FLOOD,,,,,,,,
620,SMALL STREAM AND URBAN FLOODIN,,,,,,,,
621,SMALL STREAM FLOOD,,,,,,,,
622,SMALL STREAM FLOODING,,,,,,,,
623,SMALL STREAM URBAN FLOOD,,,,,,,,
624,SMALL STREAM/URBAN FLOOD,,,,,,,,
625,Sml Stream Fld,,,,,,,,
626,SMOKE,,,,,,,,
627,Snow,,,,,,,,
628,SNOW,,,,,,,,
629,SNOW- HIGH WIND- WIND CHILL,,,,,,,,
630,Snow Accumulation,,,,,,,,
631,SNOW ACCUMULATION,,,,,,,,
632,SNOW ADVISORY,,,,,,,,
633,SNOW AND COLD,,,,,,,,
634,SNOW AND HEAVY SNOW,,,,,,,,
635,Snow and Ice,,,,,,,,
636,SNOW AND ICE,,,,,,,,
637,SNOW AND ICE STORM,,,,,,,,
638,Snow and sleet,,,,,,,,
639,SNOW AND SLEET,,,,,,,,
640,SNOW AND WIND,,,,,,,,
641,SNOW DROUGHT,,,,,,,,
642,SNOW FREEZING RAIN,,,,,,,,
643,SNOW SHOWERS,,,,,,,,
644,SNOW SLEET,,,,,,,,
645,SNOW SQUALL,,,,,,,,
646,Snow squalls,,,,,,,,
647,Snow Squalls,,,,,,,,
648,SNOW SQUALLS,,,,,,,,
649,SNOW/ BITTER COLD,,,,,,,,
650,SNOW/ ICE,,,,,,,,
651,SNOW/BLOWING SNOW,,,,,,,,
652,SNOW/COLD,,,,,,,,
653,SNOW/FREEZING RAIN,,,,,,,,
654,SNOW/HEAVY SNOW,,,,,,,,
655,SNOW/HIGH WINDS,,,,,,,,
656,SNOW/ICE,,,,,,,,
657,SNOW/ICE STORM,,,,,,,,
658,SNOW/RAIN,,,,,,,,
659,SNOW/RAIN/SLEET,,,,,,,,
660,SNOW/SLEET,,,,,,,,
661,SNOW/SLEET/FREEZING RAIN,,,,,,,,
662,SNOW/SLEET/RAIN,,,,,,,,
663,SNOW\COLD,,,,,,,,
664,SNOWFALL RECORD,,,,,,,,
665,SNOWMELT FLOODING,,,,,,,,
666,SNOWSTORM,,,,,,,,
667,SOUTHEAST,,,,,,,,
668,STORM FORCE WINDS,,,,,,,,
669,STORM SURGE,,,,,,,,
670,STORM SURGE/TIDE,,,,,,,,
671,STREAM FLOODING,,,,,,,,
672,STREET FLOOD,,,,,,,,
673,STREET FLOODING,,,,,,,,
674,Strong Wind,,,,,,,,
675,STRONG WIND,,,,,,,,
676,STRONG WIND GUST,,,,,,,,
677,Strong winds,,,,,,,,
678,Strong Winds,,,,,,,,
679,STRONG WINDS,,,,,,,,
680,SUMMARY OF MARCH 24-25,,,,,,,,
681,SUMMARY OF MARCH 27,,,,,,,,
682,SUMMARY OF MARCH 29,,,,,,,,
683,Temperature record,,,,,,,,
684,THUDERSTORM WINDS,,,,,,,,
685,THUNDEERSTORM WINDS,,,,,,,,
686,THUNDERESTORM WINDS,,,,,,,,
687,THUNDERSNOW,,,,,,,,
688,Thundersnow shower,,,,,,,,
689,THUNDERSTORM,,,,,,,,
690,THUNDERSTORM  WINDS,,,,,,,,
691,THUNDERSTORM DAMAGE,,,,,,,,
692,THUNDERSTORM DAMAGE TO,,,,,,,,
693,THUNDERSTORM HAIL,,,,,,,,
694,THUNDERSTORM W INDS,,,,,,,,
695,Thunderstorm Wind,,,,,,,,
696,THUNDERSTORM WIND,,,,,,,,
697,THUNDERSTORM WIND (G40),,,,,,,,
698,THUNDERSTORM WIND 50,,,,,,,,
699,THUNDERSTORM WIND 52,,,,,,,,
700,THUNDERSTORM WIND 56,,,,,,,,
701,THUNDERSTORM WIND 59,,,,,,,,
702,THUNDERSTORM WIND 59 MPH,,,,,,,,
703,THUNDERSTORM WIND 59 MPH.,,,,,,,,
704,THUNDERSTORM WIND 60 MPH,,,,,,,,
705,THUNDERSTORM WIND 65 MPH,,,,,,,,
706,THUNDERSTORM WIND 65MPH,,,,,,,,
707,THUNDERSTORM WIND 69,,,,,,,,
708,THUNDERSTORM WIND 98 MPH,,,,,,,,
709,THUNDERSTORM WIND G50,,,,,,,,
710,THUNDERSTORM WIND G51,,,,,,,,
711,THUNDERSTORM WIND G52,,,,,,,,
712,THUNDERSTORM WIND G55,,,,,,,,
713,THUNDERSTORM WIND G60,,,,,,,,
714,THUNDERSTORM WIND G61,,,,,,,,
715,THUNDERSTORM WIND TREES,,,,,,,,
716,THUNDERSTORM WIND.,,,,,,,,
717,THUNDERSTORM WIND/ TREE,,,,,,,,
718,THUNDERSTORM WIND/ TREES,,,,,,,,
719,THUNDERSTORM WIND/AWNING,,,,,,,,
720,THUNDERSTORM WIND/HAIL,,,,,,,,
721,THUNDERSTORM WIND/LIGHTNING,,,,,,,,
722,THUNDERSTORM WINDS,,,,,,,,
723,THUNDERSTORM WINDS      LE CEN,,,,,,,,
724,THUNDERSTORM WINDS 13,,,,,,,,
725,THUNDERSTORM WINDS 2,,,,,,,,
726,THUNDERSTORM WINDS 50,,,,,,,,
727,THUNDERSTORM WINDS 52,,,,,,,,
728,THUNDERSTORM WINDS 53,,,,,,,,
729,THUNDERSTORM WINDS 60,,,,,,,,
730,THUNDERSTORM WINDS 61,,,,,,,,
731,THUNDERSTORM WINDS 62,,,,,,,,
732,THUNDERSTORM WINDS 63 MPH,,,,,,,,
733,THUNDERSTORM WINDS AND,,,,,,,,
734,THUNDERSTORM WINDS FUNNEL CLOU,,,,,,,,
735,THUNDERSTORM WINDS G,,,,,,,,
736,THUNDERSTORM WINDS G60,,,,,,,,
737,THUNDERSTORM WINDS HAIL,,,,,,,,
738,THUNDERSTORM WINDS HEAVY RAIN,,,,,,,,
739,THUNDERSTORM WINDS LIGHTNING,,,,,,,,
740,THUNDERSTORM WINDS SMALL STREA,,,,,,,,
741,THUNDERSTORM WINDS URBAN FLOOD,,,,,,,,
742,THUNDERSTORM WINDS.,,,,,,,,
743,THUNDERSTORM WINDS/ FLOOD,,,,,,,,
744,THUNDERSTORM WINDS/ HAIL,,,,,,,,
745,THUNDERSTORM WINDS/FLASH FLOOD,,,,,,,,
746,THUNDERSTORM WINDS/FLOODING,,,,,,,,
747,THUNDERSTORM WINDS/FUNNEL CLOU,,,,,,,,
748,THUNDERSTORM WINDS/HAIL,,,,,,,,
749,THUNDERSTORM WINDS/HEAVY RAIN,,,,,,,,
750,THUNDERSTORM WINDS53,,,,,,,,
751,THUNDERSTORM WINDSHAIL,,,,,,,,
752,THUNDERSTORM WINDSS,,,,,,,,
753,THUNDERSTORM WINS,,,,,,,,
754,THUNDERSTORMS,,,,,,,,
755,THUNDERSTORMS WIND,,,,,,,,
756,THUNDERSTORMS WINDS,,,,,,,,
757,THUNDERSTORMW,,,,,,,,
758,THUNDERSTORMW 50,,,,,,,,
759,THUNDERSTORMW WINDS,,,,,,,,
760,THUNDERSTORMWINDS,,,,,,,,
761,THUNDERSTROM WIND,,,,,,,,
762,THUNDERSTROM WINDS,,,,,,,,
763,THUNDERTORM WINDS,,,,,,,,
764,THUNDERTSORM WIND,,,,,,,,
765,THUNDESTORM WINDS,,,,,,,,
766,THUNERSTORM WINDS,,,,,,,,
767,TIDAL FLOOD,,,,,,,,
768,Tidal Flooding,,,,,,,,
769,TIDAL FLOODING,,,,,,,,
770,TORNADO,,,,,,,,
771,TORNADO DEBRIS,,,,,,,,
772,TORNADO F0,,,,,,,,
773,TORNADO F1,,,,,,,,
774,TORNADO F2,,,,,,,,
775,TORNADO F3,,,,,,,,
776,TORNADO/WATERSPOUT,,,,,,,,
777,TORNADOES,,,,,,,,
778,"TORNADOES, TSTM WIND, HAIL",,,,,,,,
779,TORNADOS,,,,,,,,
780,TORNDAO,,,,,,,,
781,TORRENTIAL RAIN,,,,,,,,
782,Torrential Rainfall,,,,,,,,
783,TROPICAL DEPRESSION,,,,,,,,
784,TROPICAL STORM,,,,,,,,
785,TROPICAL STORM ALBERTO,,,,,,,,
786,TROPICAL STORM DEAN,,,,,,,,
787,TROPICAL STORM GORDON,,,,,,,,
788,TROPICAL STORM JERRY,,,,,,,,
789,TSTM,,,,,,,,
790,TSTM HEAVY RAIN,,,,,,,,
791,Tstm Wind,,,,,,,,
792,TSTM WIND,,,,,,,,
793,TSTM WIND  (G45),,,,,,,,
794,TSTM WIND (41),,,,,,,,
795,TSTM WIND (G35),,,,,,,,
796,TSTM WIND (G40),,,,,,,,
797,TSTM WIND (G45),,,,,,,,
798,TSTM WIND 40,,,,,,,,
799,TSTM WIND 45,,,,,,,,
800,TSTM WIND 50,,,,,,,,
801,TSTM WIND 51,,,,,,,,
802,TSTM WIND 52,,,,,,,,
803,TSTM WIND 55,,,,,,,,
804,TSTM WIND 65),,,,,,,,
805,TSTM WIND AND LIGHTNING,,,,,,,,
806,TSTM WIND DAMAGE,,,,,,,,
807,TSTM WIND G45,,,,,,,,
808,TSTM WIND G58,,,,,,,,
809,TSTM WIND/HAIL,,,,,,,,
810,TSTM WINDS,,,,,,,,
811,TSTM WND,,,,,,,,
812,TSTMW,,,,,,,,
813,TSUNAMI,,,,,,,,
814,TUNDERSTORM WIND,,,,,,,,
815,TYPHOON,,,,,,,,
816,Unseasonable Cold,,,,,,,,
817,UNSEASONABLY COLD,,,,,,,,
818,UNSEASONABLY COOL,,,,,,,,
819,UNSEASONABLY COOL & WET,,,,,,,,
820,UNSEASONABLY DRY,,,,,,,,
821,UNSEASONABLY HOT,,,,,,,,
822,UNSEASONABLY WARM,,,,,,,,
823,UNSEASONABLY WARM & WET,,,,,,,,
824,UNSEASONABLY WARM AND DRY,,,,,,,,
825,UNSEASONABLY WARM YEAR,,,,,,,,
826,UNSEASONABLY WARM/WET,,,,,,,,
827,UNSEASONABLY WET,,,,,,,,
828,UNSEASONAL LOW TEMP,,,,,,,,
829,UNSEASONAL RAIN,,,,,,,,
830,UNUSUAL WARMTH,,,,,,,,
831,UNUSUAL/RECORD WARMTH,,,,,,,,
832,UNUSUALLY COLD,,,,,,,,
833,UNUSUALLY LATE SNOW,,,,,,,,
834,UNUSUALLY WARM,,,,,,,,
835,URBAN AND SMALL,,,,,,,,
836,URBAN AND SMALL STREAM,,,,,,,,
837,URBAN AND SMALL STREAM FLOOD,,,,,,,,
838,URBAN AND SMALL STREAM FLOODIN,,,,,,,,
839,Urban flood,,,,,,,,
840,Urban Flood,,,,,,,,
841,URBAN FLOOD,,,,,,,,
842,URBAN FLOOD LANDSLIDE,,,,,,,,
843,Urban Flooding,,,,,,,,
844,URBAN FLOODING,,,,,,,,
845,URBAN FLOODS,,,,,,,,
846,URBAN SMALL,,,,,,,,
847,URBAN SMALL STREAM FLOOD,,,,,,,,
848,URBAN/SMALL,,,,,,,,
849,URBAN/SMALL FLOODING,,,,,,,,
850,URBAN/SMALL STREAM,,,,,,,,
851,URBAN/SMALL STREAM  FLOOD,,,,,,,,
852,URBAN/SMALL STREAM FLOOD,,,,,,,,
853,URBAN/SMALL STREAM FLOODING,,,,,,,,
854,URBAN/SMALL STRM FLDG,,,,,,,,
855,URBAN/SML STREAM FLD,,,,,,,,
856,URBAN/SML STREAM FLDG,,,,,,,,
857,URBAN/STREET FLOODING,,,,,,,,
858,VERY DRY,,,,,,,,
859,VERY WARM,,,,,,,,
860,VOG,,,,,,,,
861,Volcanic Ash,,,,,,,,
862,VOLCANIC ASH,,,,,,,,
863,Volcanic Ash Plume,,,,,,,,
864,VOLCANIC ASHFALL,,,,,,,,
865,VOLCANIC ERUPTION,,,,,,,,
866,WAKE LOW WIND,,,,,,,,
867,WALL CLOUD,,,,,,,,
868,WALL CLOUD/FUNNEL CLOUD,,,,,,,,
869,WARM DRY CONDITIONS,,,,,,,,
870,WARM WEATHER,,,,,,,,
871,WATER SPOUT,,,,,,,,
872,WATERSPOUT,,,,,,,,
873,WATERSPOUT-,,,,,,,,
874,WATERSPOUT-TORNADO,,,,,,,,
875,WATERSPOUT FUNNEL CLOUD,,,,,,,,
876,WATERSPOUT TORNADO,,,,,,,,
877,WATERSPOUT/,,,,,,,,
878,WATERSPOUT/ TORNADO,,,,,,,,
879,WATERSPOUT/TORNADO,,,,,,,,
880,WATERSPOUTS,,,,,,,,
881,WAYTERSPOUT,,,,,,,,
882,wet micoburst,,,,,,,,
883,WET MICROBURST,,,,,,,,
884,Wet Month,,,,,,,,
885,WET SNOW,,,,,,,,
886,WET WEATHER,,,,,,,,
887,Wet Year,,,,,,,,
888,Whirlwind,,,,,,,,
889,WHIRLWIND,,,,,,,,
890,WILD FIRES,,,,,,,,
891,WILD/FOREST FIRE,,,,,,,,
892,WILD/FOREST FIRES,,,,,,,,
893,WILDFIRE,,,,,,,,
894,WILDFIRES,,,,,,,,
895,Wind,,,,,,,,
896,WIND,,,,,,,,
897,WIND ADVISORY,,,,,,,,
898,WIND AND WAVE,,,,,,,,
899,WIND CHILL,,,,,,,,
900,WIND CHILL/HIGH WIND,,,,,,,,
901,Wind Damage,,,,,,,,
902,WIND DAMAGE,,,,,,,,
903,WIND GUSTS,,,,,,,,
904,WIND STORM,,,,,,,,
905,WIND/HAIL,,,,,,,,
906,WINDS,,,,,,,,
907,WINTER MIX,,,,,,,,
908,WINTER STORM,,,,,,,,
909,WINTER STORM HIGH WINDS,,,,,,,,
910,WINTER STORM/HIGH WIND,,,,,,,,
911,WINTER STORM/HIGH WINDS,,,,,,,,
912,WINTER STORMS,,,,,,,,
913,Winter Weather,,,,,,,,
914,WINTER WEATHER,,,,,,,,
915,WINTER WEATHER MIX,,,,,,,,
916,WINTER WEATHER/MIX,,,,,,,,
917,WINTERY MIX,,,,,,,,
918,Wintry mix,,,,,,,,
919,Wintry Mix,,,,,,,,
920,WINTRY MIX,,,,,,,,
921,WND,,,,,,,,
